Lineup ID,Player Name,Player Team,Player Position
7ecab08b-04e3-4faf-8621-388459ab077e,Jordan Addison,MIN,WR
341ae308-9744-4346-be5b-71f8404ca642,Christian McCaffrey,SF,RB
341ae308-9744-4346-be5b-71f8404ca642,Deebo Samuel Sr.,SF,WR
341ae308-9744-4346-be5b-71f8404ca642,Brock Purdy,SF,QB
341ae308-9744-4346-be5b-71f8404ca642,Ricky Pearsall,SF,WR
341ae308-9744-4346-be5b-71f8404ca642,Sam LaPorta,DET,TE
341ae308-9744-4346-be5b-71f8404ca642,Kalif Raymond,DET,WR
341ae308-9744-4346-be5b-71f8404ca642,Jordan Addison,MIN,WR
341ae308-9744-4346-be5b-71f8404ca642,Ty Chandler,MIN,RB
a837181d-86db-4209-aaa1-c82156af5318,Ja'Marr Chase,CIN,WR
a837181d-86db-4209-aaa1-c82156af5318,Joe Burrow,CIN,QB
a837181d-86db-4209-aaa1-c82156af5318,Jermaine Burton,CIN,WR
a837181d-86db-4209-aaa1-c82156af5318,Javonte Williams,DEN,RB
a837181d-86db-4209-aaa1-c82156af5318,Courtland Sutton,DEN,WR
a837181d-86db-4209-aaa1-c82156af5318,Marvin Mims Jr.,DEN,WR
a837181d-86db-4209-aaa1-c82156af5318,Antonio Gibson,NE,RB
a837181d-86db-4209-aaa1-c82156af5318,Hunter Henry,NE,TE
a837181d-86db-4209-aaa1-c82156af5318,Javon Baker,NE,WR
a837181d-86db-4209-aaa1-c82156af5318,Brandon Aiyuk,SF,WR
a837181d-86db-4209-aaa1-c82156af5318,Deebo Samuel Sr.,SF,WR
a837181d-86db-4209-aaa1-c82156af5318,Jerry Jeudy,CLE,WR
a837181d-86db-4209-aaa1-c82156af5318,D'Onta Foreman,CLE,RB
8b584c8c-d33f-4f06-914c-84a900f736b4,Brandon Aiyuk,SF,WR
8b584c8c-d33f-4f06-914c-84a900f736b4,Deebo Samuel Sr.,SF,WR
8b584c8c-d33f-4f06-914c-84a900f736b4,Elijah Mitchell,SF,RB
8b584c8c-d33f-4f06-914c-84a900f736b4,Tee Higgins,CIN,WR
8b584c8c-d33f-4f06-914c-84a900f736b4,Joe Burrow,CIN,QB
8b584c8c-d33f-4f06-914c-84a900f736b4,Jermaine Burton,CIN,WR
8b584c8c-d33f-4f06-914c-84a900f736b4,Jalen Hurts,PHI,QB
8b584c8c-d33f-4f06-914c-84a900f736b4,Parris Campbell,PHI,WR
8b584c8c-d33f-4f06-914c-84a900f736b4,Courtland Sutton,DEN,WR
8b584c8c-d33f-4f06-914c-84a900f736b4,Jaleel McLaughlin,DEN,RB
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Christian Kirk,JAX,WR
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Brian Thomas Jr.,JAX,WR
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Trevor Lawrence,JAX,QB
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Jahmyr Gibbs,DET,RB
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Jameson Williams,DET,WR
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Tee Higgins,CIN,WR
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Chase Brown,CIN,RB
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Calvin Ridley,TEN,WR
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,DeAndre Hopkins,TEN,WR
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Zach Charbonnet,SEA,RB
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Noah Fant,SEA,TE
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Deshaun Watson,CLE,QB
